,Word,Times_Used
9993,rt,728
9992,for,723
9990,trump,631
9988,we,522
9987,you,426
9985,our,393
9984,donald,374
9980,hillary,297
9978,not,266
9977,—hillary,265
9975,his,254
9972,he,236
9971,it,232
9969,as,200
9968,make,196
9967,can,193
9966,what,189
9965,i,187
9964,your,186
9961,just,169
9959,one,158
9958,all,155
9957,if,152
9956,people,144
9955,president,142
9954,when,132
9953,her,131
9951,do,129
9950,trump's,127
9949,should,125
9948,more,124
9947,than,120
9946,no,119
9944,their,117
9943,my,116
9942,"""i",114
9941,an,114
9940,she,109
9939,america,106
9938,would,105
9937,how,104
9936,every,102
9935,like,102
9933,—@potus,101
9932,or,99
9931,get,99
9930,need,97
9929,but,96
9928,us,96
9927,up,96
9926,out,94
9925,clinton,94
9924,going,93
9923,american,90
9922,it's,87
9920,@thebriefing2016:,85
9919,tax,81
9918,they,81
9917,first,78
9916,time,78
9915,women,77
9914,know,75
9913,never,75
9912,plan,75
9911,#debatenight,74
9910,@timkaine:,74
9909,-h,73
9908,last,72
9907,want,72
9906,help,71
9905,families,71
9904,https://t.co/ttgeqxnqym,70
9903,only,70
9902,sure,69
9901,good,68
9900,country,68
9899,hillary's,67
9898,americans,67
9897,vote,66
9896,right,66
9895,work,65
9894,@hillaryclinton,64
9893,been,63
9892,got,63
9891,why,62
9890,campaign,62
9889,take,62
9888,pence,61
9887,election,60
9886,live,60
9885,go,59
9884,years,59
9883,because,58
9882,"""we",58
9881,most,57
9880,new,57
9879,believe,56
9878,let's,56
9877,other,55
9876,watch,55
9875,pay,55
9874,you're,55
9873,now,55
9872,see,55
9871,me,54
9870,back,54
9869,great,54
9868,many,54
9867,it’s,53
9866,next,53
9865,mike,52
9864,things,52
9863,#debate,51
9862,candidate,51
9861,@hfa:,51
9860,say,51
9859,—@flotus,50
9858,those,50
9857,proud,49
9856,each,49
9855,can't,49
9854,let,48
9853,much,48
9852,best,48
9851,own,47
9850,says,47
9849,could,47
9848,#demsinphilly,46
9847,we're,46
9846,man,46
9845,ever,46
9844,wants,46
9843,,46
9842,"""hillary",45
9841,too,45
9840,de,45
9839,we’re,44
9838,him,44
9837,president.,44
9836,against,44
9835,still,44
9834,always,43
9833,white,43
9832,everyone,43
9831,#vpdebate,43
9830,give,43
9829,economy,43
9828,kids,43
9827,united,42
9826,don't,42
9825,there,42
9824,way,42
9823,fight,42
9822,working,42
9821,made,41
9820,millions,41
9819,#rncincle,41
9818,trump.,41
9817,college,41
9816,million,41
9815,woman,40
9814,day,40
9813,said,40
9812,it.,40
9811,where,40
9810,health,39
9809,he's,39
9808,real,39
9807,doesn't,38
9806,join,38
9805,running,38
9804,here's,38
9803,into,38
9802,here,38
9801,stand,37
9800,making,37
9799,trump’s,37
9798,love,37
9797,debate,36
9796,days,36
9795,even,36
9794,put,36
9793,@timkaine,36
9792,them,36
9791,any,35
9790,better,35
9789,some,35
9788,he’s,34
9787,→,34
9786,@realdonaldtrump,34
9785,don’t,34
9784,"""the",34
9783,gun,34
9782,stronger,34
9781,had,34
9780,life,34
9779,doesn’t,34
9778,that's,33
9777,thing,33
9776,thank,33
9775,win,33
9774,can’t,33
9773,were,32
9772,family,32
9771,climate,32
9770,really,32
9769,support,32
9768,deserve,31
9767,build,31
9766,anyone,31
9765,think,31
9764,care,31
9763,matter,31
9762,world,31
9761,choice,31
9760,everything,30
9759,national,30
9758,"you,",30
9757,presidential,30
9756,fighting,29
9755,over,29
9754,keep,29
9753,someone,29
9752,before,29
9751,@hillary_esp:,29
9750,takes,29
9749,these,29
9748,voting,29
9747,young,29
9746,kind,28
9745,"""she",28
9744,la,28
9743,stop,28
9742,economic,28
9741,ready,28
9740,chip,28
9739,lgbt,28
9738,come,27
9737,public,27
9736,business,27
9735,"trump,",27
9734,child,27
9733,student,26
9732,@potus,26
9731,today,26
9730,hard,26
9729,show,26
9728,tell,26
9727,look,26
9726,—@joebiden,26
