,Word,Times_Used
9993,i,761
9990,you,587
9988,for,551
9987,thank,506
9985,great,402
9984,hillary,348
9982,we,322
9976,,259
9975,@realdonaldtrump,258
9973,my,231
9972,crooked,219
9971,it,217
9967,trump,205
9965,our,203
9964,me,202
9963,just,201
9962,all,200
9961,he,195
9959,not,191
9958,clinton,179
9956,make,171
9955,rt,171
9954,#trump2016,167
9953,she,167
9952,america,164
9951,people,161
9950,out,155
9949,they,154
9947,get,147
9946,very,147
9945,new,146
9944,her,143
9943,as,139
9941,join,133
9940,no,130
9939,am,121
9938,big,113
9937,your,110
9936,more,109
9935,you!,107
9934,but,105
9933,vote,104
9932,like,99
9931,his,98
9930,if,98
9929,now,98
9928,many,95
9927,would,94
9926,never,94
9925,going,93
9924,what,92
9923,cruz,91
9922,only,89
9921,do,89
9920,again!,89
9919,bad,87
9918,can,85
9917,been,84
9916,when,82
9915,an,80
9914,#makeamericagreatagain,79
9913,last,79
9912,one,79
9911,media,78
9910,how,77
9909,ted,75
9908,enjoy!,75
9907,up,74
9906,time,74
9905,had,72
9904,should,70
9903,than,69
9902,said,68
9901,president,67
9900,see,66
9899,don't,65
9898,or,65
9897,back,65
9896,want,65
9895,their,64
9894,republican,64
9893,why,62
9892,against,61
9891,go,61
9890,tonight,61
9889,much,61
9888,bernie,59
9887,interviewed,58
9886,totally,57
9885,speech,56
9884,obama,56
9883,@cnn,55
9882,amazing,55
9881,@foxnews,55
9880,us,55
9879,#maga,55
9878,today,53
9877,even,53
9876,country,53
9875,rubio,52
9874,over,52
9873,american,52
9872,love,52
9871,poll,51
9870,look,51
9869,job,51
9868,"wow,",50
9867,because,48
9866,did,48
9865,tomorrow,48
9864,really,48
9863,good,46
9862,me.,46
9861,win,46
9860,jobs,46
9859,made,45
9858,other,45
9857,were,45
9856,#bigleaguetruth,45
9855,can't,45
9854,@teamtrump:,44
9853,#americafirst,44
9852,got,43
9851,believe,43
9850,#votetrump,43
9849,#imwithyou,42
9848,campaign,42
9847,@nytimes,42
9846,support,42
9845,state,41
9844,must,41
9843,watch,40
9842,south,40
9841,show,40
9840,failing,40
9839,ever,40
9838,won,40
9837,them,40
9836,#debate,39
9835,there,39
9834,@megynkelly,39
9833,after,39
9832,#draintheswamp,39
9831,donald,38
9830,marco,38
9829,way,38
9828,total,38
9827,ohio,38
9826,rally,37
9825,him,37
9824,beat,37
9823,being,37
9822,u.s.,37
9821,wants,37
9820,know,36
9819,says,36
9818,sanders,36
9817,presidential,36
9816,dishonest,35
9815,need,35
9814,another,35
9813,doing,35
9812,day,34
9811,first,34
9810,night,34
9809,lyin',33
9808,national,33
9807,done,33
9806,failed,33
9805,polls,33
9804,debate,32
9803,nothing,32
9802,millions,32
9801,@foxandfriends,32
9800,north,32
9799,"you,",32
9798,take,32
9797,everyone,31
9796,supporters,31
9795,wonderful,31
9794,w/,31
9793,safe,31
9792,let,31
9791,where,31
9790,looking,31
9789,story,30
9788,"
#makeamericagreatagain",30
9787,senator,30
9786,it's,30
9785,bill,30
9784,kasich,30
9783,run,30
9782,while,30
9781,two,29
9780,little,29
9779,think,29
9778,put,29
9777,jeb,29
9776,say,29
9775,massive,29
9774,million,29
9773,wall,28
9772,news,28
9771,keep,28
9770,most,28
9769,stop,28
9768,didn't,28
9767,off,28
9766,into,28
9765,which,27
9764,women,27
9763,weak,27
9762,florida,27
9761,bring,27
9760,saying,27
9759,years,27
9758,lightweight,26
9757,phony,26
9756,forward,26
9755,movement,26
9754,candidate,26
9753,special,26
9752,governor,26
9751,rigged,26
9750,you.,26
9749,isis,26
9748,carolina,26
9747,things,26
9746,i'm,26
9745,doesn't,25
9744,#crookedhillary,25
9743,proud,25
9742,endorsement,25
9741,meeting,25
9740,money,25
9739,a.m.,25
9738,live,25
9737,then,25
9736,getting,24
9735,watching,24
9734,elizabeth,24
9733,under,24
9732,goofy,24
9731,numbers,24
9730,down,24
9729,me!,24
9728,--,24
9727,shows,24
9726,interview,24
9725,illegal,24
9724,person,24
9723,world,24
9722,lost,23
9721,far,23
9720,gop,23
9719,making,23
9718,deal,23
9717,@seanhannity,23
9716,america!,23
9715,fight,23
9714,law,23
9713,does,23
9712,best,23
9711,tax,22
9710,always,22
9709,convention,22
9708,yet,22
9707,clinton's,22
9706,could,22
9705,such,22
9704,right,22
9703,nice,21
9702,hillary's,21
9701,hard,21
9700,talk,21
9699,votes,21
9698,"me,",21
9697,party,21
9696,both,21
9695,#debates2016,21
9694,@mike_pence,21
9693,it!,21
9692,crowd,21
9691,looks,20
9690,people!,20
9689,hit,20
9688,worst,20
9687,come,20
9686,election,20
9685,gave,20
9684,primary,20
9683,spent,20
9682,@erictrump:,20
9681,again,20
9680,same,20
